location-long,location-lat,date,is_foraging,nflh,chl,a_412,bb_412,pic,kd_490,rrs_412,sst
-86.98448681,25.83319825,2011-01-15,1,0.0429749488830566,0.0264352560043334,0.0155000686645507,0.0050899982452392,0.0001439973711967,0.0227999985218048,0.0162260010838508,31.139999389648438
-86.89603188,25.92477398,2011-01-16,1,0.0224900245666503,0.0322232507169246,0.0162000656127929,0.0047700107097625,3.999471664428711e-05,0.0218000002205371,0.0146900005638599,31.545000076293945
-86.8298676,26.00033378,2011-01-17,1,0.038640022277832,0.0286827385425567,0.0155999660491943,0.0049699991941452,8.999556303024292e-05,0.0230000000447034,0.015769999474287,31.91499900817871
-86.78519102,26.06091918,2011-01-18,1,0.038640022277832,0.0286827385425567,0.0155999660491943,0.0049699991941452,8.999556303024292e-05,0.0230000000447034,0.015769999474287,31.91499900817871
-86.76127058,26.10736747,2011-01-19,1,0.0380449295043945,0.0243281237781047,0.0148000717163085,0.0050850063562393,0.0001019984483718,0.0225999988615512,0.0168020017445087,31.71500015258789
-86.75766712,26.14011775,2011-01-20,1,0.0380449295043945,0.0243281237781047,0.0148000717163085,0.0050850063562393,0.0001019984483718,0.0225999988615512,0.0168020017445087,31.71500015258789
-86.77462197,26.15903523,2011-01-21,1,0.0380449295043945,0.0243281237781047,0.0148000717163085,0.0050850063562393,0.0001019984483718,0.0225999988615512,0.0168020017445087,31.71500015258789
-86.81474468,26.16413717,2011-01-22,1,0.0380449295043945,0.0243281237781047,0.0148000717163085,0.0050850063562393,0.0001019984483718,0.0225999988615512,0.0168020017445087,31.71500015258789
-86.7152133,26.24320206,2011-01-23,1,0.040255069732666,0.0258126445114612,0.0150001049041748,0.0050100088119506,7.599592208862305e-05,0.0225999988615512,0.0164359994232654,32.11000061035156
-86.64210859,26.30717216,2011-01-24,1,0.0608251094818115,0.0258053615689277,0.015200138092041,0.0051899999380111,0.000119999051094,0.023199999704957,0.0166979990899562,31.885000228881836
-86.59137982,26.35697931,2011-01-25,1,0.0824999809265136,0.0230529606342315,0.0145001411437988,0.0050850063562393,9.600073099136353e-05,0.0221999995410442,0.0171280018985271,31.35999870300293
-86.56182129,26.39327733,2011-01-26,1,0.0749349594116211,0.0279661063104867,0.0155999660491943,0.0052400082349777,0.0001579970121383,0.023599999025464,0.0165360011160373,31.760000228881836
-86.55309993,26.41634962,2011-01-27,1,0.0749349594116211,0.0279661063104867,0.0155999660491943,0.0052400082349777,0.0001579970121383,0.023599999025464,0.0165360011160373,31.760000228881836
-86.56551706,26.42568519,2011-01-28,1,0.0207049846649169,0.0371370129287242,0.0171000957489013,0.0052850097417831,0.0001379996538162,0.0259999986737966,0.0152160003781318,31.60999870300293
-86.60085053,26.41921011,2011-01-29,1,0.0326900482177734,0.0339362062513828,0.0164000988006591,0.0051600039005279,0.0001019984483718,0.0245999991893768,0.0154780000448226,30.959999084472656
-86.61627513,26.51630864,2011-01-30,1,0.0496900081634521,0.0325815379619598,0.0164999961853027,0.0052300095558166,0.0001280009746551,0.0245999991893768,0.015659999102354,31.420000076293945
-86.65969427,26.59235931,2011-01-31,1,0.0331149101257324,0.0366079248487949,0.0169000625610351,0.005165010690689,0.0001059994101524,0.0249999985098838,0.0151260010898113,31.57499885559082
-86.75258723,26.66468364,2011-02-01,1,0.018665075302124,0.0387789234519004,0.0171999931335449,0.0052450001239776,0.0001299977302551,0.0262000001966953,0.0150820016860961,31.239999771118164
-86.96460747,27.09625011,2011-02-02,1,0.0646500587463378,0.0876268297433853,0.0243000984191894,0.0049950033426284,3.200024366378784e-05,0.031599998474121,0.0107199996709823,30.724998474121094
